Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped,Population,Avg_Taxable_Income,Number_of_Buildings,Number_of_Transactions,Add_Fearures
Province of Walloon Brabant,Apartment,apartment,245000.0,2.0,85,C,191.0,To renovate,Apartments,35558,41007.54,117663,1680,True
Province of West Flanders,Apartment,apartment,1150000.0,3.0,200,A,83.0,Just renovated,Apartments,11455,35914.08,74000,14552,True
Brussels-Capital Region,House,villa,1550000.0,5.0,390,F,311.0,As new,Luxury Properties,42571,49629.39,117715,6157,True
Brussels-Capital Region,Apartment,apartment,249000.0,1.0,77,G,317.0,Good,Apartments,42571,49629.39,117715,6157,True
Province of East Flanders,House,villa,495000.0,3.0,195,E,452.0,To renovate,Luxury Properties,2012,44818.74,7890,11112,False
Province of West Flanders,House,house,1575000.0,4.0,316,B,107.0,Not specified,Houses,32514,49005.78,218080,23881,False
Province of Flemish Brabant,House,house,775000.0,5.0,250,C,283.0,To be done up,Houses,11636,51431.61,41415,11297,True
Province of Antwerp,Apartment,apartment,259000.0,2.0,95,A,67.0,As new,Apartments,544759,33144.07,1227104,4398,True
Province of Antwerp,House,house,445000.0,4.0,140,D,346.0,Good,Houses,544759,33144.07,1227104,4398,False
Brussels-Capital Region,Apartment,apartment,195000.0,2.0,75,C,125.0,Good,Apartments,126581,26480.5,210927,18015,True
Province of West Flanders,House,villa,1345000.0,4.0,300,D,320.0,As new,Luxury Properties,11207,40996.06,46066,26033,False
Province of West Flanders,House,house,480000.0,3.0,166,A,317.0,Good,Houses,12705,37136.29,47486,10407,True
Province of Liège,Apartment,apartment,268000.0,2.0,90,B,168.0,Good,Apartments,195778,29723.4,553498,4139,True
Province of Walloon Brabant,Apartment,ground-floor,195000.0,2.0,102,G,585.0,Just renovated,Apartments,11114,44726.49,38750,5205,True
Province of Antwerp,House,villa,1690000.0,4.0,448,C,262.0,Good,Luxury Properties,20319,52053.15,77813,4594,True
Province of Limburg,House,house,779000.0,5.0,348,B,317.0,Good,Houses,34913,36743.35,131258,21283,True
