Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped,Population,Avg_Taxable_Income,Number_of_Buildings,Number_of_Transactions,Add_Fearures
Province of Flemish Brabant,Apartment,apartment,287500.0,1.0,76,A,59.0,As new,Apartments,42595,38907.97,130239,12277,True
Province of East Flanders,House,house,485000.0,5.0,200,C,267.0,As new,Houses,27356,32084.7,82867,11685,True
Province of East Flanders,House,house,225000.0,3.0,102,F,630.0,To renovate,Houses,269597,36726.16,810047,6028,True
Province of Flemish Brabant,House,house,455000.0,3.0,190,F,534.0,To be done up,Houses,23007,51119.01,77582,45459,True
Province of Antwerp,House,house,1165000.0,3.0,241,C,279.0,Good,Houses,15454,51407.17,56325,2469,True
Province of East Flanders,House,mixed-use-building,635000.0,5.0,272,D,417.0,Not specified,Specialized Properties,32702,39518.48,117883,21321,False
Province of Antwerp,House,house,549000.0,3.0,349,C,251.0,Good,Houses,12396,40070.56,34387,20585,True
Province of Luxembourg,Apartment,triplex,169000.0,3.0,126,B,169.0,Good,Apartments,11368,35651.83,45188,0,True
Province of East Flanders,House,house,495000.0,5.0,200,C,296.0,Good,Houses,32702,39518.48,117883,21321,True
Province of East Flanders,House,house,639000.0,5.0,303,C,250.0,As new,Houses,19110,47282.69,70080,9209,True
Province of East Flanders,House,house,625000.0,4.0,241,B,151.0,Good,Houses,12305,44014.92,48387,7122,False
Province of Walloon Brabant,Apartment,apartment,295000.0,1.0,72,B,155.0,Not specified,Apartments,40461,43475.47,136981,9066,False
Province of Flemish Brabant,House,house,549000.0,3.0,209,B,143.0,Good,Houses,17672,49195.92,64051,8324,True
Brussels-Capital Region,Apartment,flat-studio,240000.0,0.0,41,B,95.0,As new,Apartments,26895,22954.31,36878,7264,True
Province of Liège,House,house,199900.0,3.0,131,C,233.0,As new,Houses,64266,28856.29,196623,18484,True
Brussels-Capital Region,Apartment,apartment,315000.0,2.0,85,F,290.0,As new,Apartments,130405,29104.72,217421,12964,True
Brussels-Capital Region,Apartment,apartment,1175000.0,4.0,260,D,189.0,As new,Apartments,26895,22954.31,36878,7264,True
Brussels-Capital Region,House,mixed-use-building,649000.0,6.0,310,E,229.0,To be done up,Specialized Properties,130405,29104.72,217421,12964,False
Province of Antwerp,House,house,625000.0,4.0,240,C,225.0,Not specified,Houses,30610,43103.88,106078,10507,True
Province of Liège,House,house,215000.0,2.0,117,C,247.0,As new,Houses,64266,28856.29,196623,18484,True
Province of Flemish Brabant,House,house,445000.0,4.0,180,Not specified,317.0,Not specified,Houses,104009,43011.99,344112,18038,False
Brussels-Capital Region,Apartment,apartment,320000.0,3.0,90,D,174.0,Good,Apartments,54107,31546.83,96069,5392,True
Province of East Flanders,House,house,587000.0,4.0,200,E,493.0,To be done up,Houses,269597,36726.16,810047,6028,False
Brussels-Capital Region,Apartment,apartment,345000.0,2.0,115,D,175.0,Good,Apartments,60771,39197.85,137181,288528,True
Province of East Flanders,House,house,686000.0,3.0,224,B,173.0,Just renovated,Houses,11981,45434.68,41316,19070,True
Brussels-Capital Region,House,house,650000.0,6.0,416,E,272.0,Good,Houses,130405,29104.72,217421,12964,True
Province of Walloon Brabant,House,town-house,609000.0,4.0,210,A,70.0,Not specified,Houses,7607,46630.21,25490,4567,True
Province of Liège,House,house,260000.0,4.0,152,D,279.0,Good,Houses,6296,31313.22,22429,3774,True
Province of Liège,Apartment,flat-studio,99000.0,1.0,35,D,295.0,To renovate,Apartments,195778,29723.4,553498,4139,False
Province of Liège,House,house,275000.0,3.0,163,C,254.0,As new,Houses,13482,38624.73,48698,7415,True
Province of Flemish Brabant,House,town-house,660000.0,4.0,250,B,110.0,As new,Houses,4674,46319.07,15839,455498,True
Brussels-Capital Region,House,apartment-block,650000.0,6.0,416,E,272.0,Good,Specialized Properties,130405,29104.72,217421,12964,True
Province of Liège,House,house,449000.0,4.0,149,C,234.0,Good,Houses,55770,29892.76,150978,34826,True
Province of East Flanders,House,apartment-block,587000.0,4.0,200,E,493.0,To be done up,Specialized Properties,269597,36726.16,810047,6028,False
Province of East Flanders,House,house,615000.0,4.0,212,A,85.0,Not specified,Houses,45471,42117.19,171088,11335,True
Province of West Flanders,Apartment,ground-floor,429000.0,2.0,66,C,272.0,Good,Apartments,32514,49005.78,218080,23881,True
Province of East Flanders,House,house,699000.0,4.0,390,B,187.0,Not specified,Houses,11981,45434.68,41316,19070,True
Province of Walloon Brabant,House,house,599000.0,4.0,210,A,317.0,Not specified,Houses,7607,46630.21,25490,4567,False
Brussels-Capital Region,House,house,795000.0,4.0,257,F,298.0,Good,Houses,86806,43621.92,224317,19952,True
Province of Liège,Apartment,flat-studio,119500.0,1.0,26,B,161.0,Just renovated,Apartments,195778,29723.4,553498,4139,False
Brussels-Capital Region,Apartment,apartment,430000.0,1.0,65,B,317.0,As new,Apartments,89278,36192.4,192538,3920,True
Province of Luxembourg,House,house,795000.0,4.0,296,C,219.0,Good,Houses,31310,46116.34,107219,9599,True
Province of Liège,House,house,280000.0,3.0,155,E,408.0,To be done up,Houses,14010,38247.77,48115,2858,True
Province of Antwerp,House,house,750000.0,3.0,509,B,130.0,As new,Houses,544759,33144.07,1227104,4398,False
Brussels-Capital Region,House,house,799000.0,1.0,226,B,60.0,Not specified,Houses,89278,36192.4,192538,3920,True
Province of Flemish Brabant,House,villa,1020000.0,5.0,309,C,235.0,Not specified,Luxury Properties,104009,43011.99,344112,18038,True
Province of Flemish Brabant,House,villa,749000.0,6.0,350,B,195.0,Good,Luxury Properties,44878,43899.63,143386,5608,True
Province of Antwerp,House,mansion,1195000.0,7.0,405,C,272.0,Not specified,Luxury Properties,544759,33144.07,1227104,4398,False
Province of Luxembourg,Apartment,apartment,165000.0,1.0,45,C,187.0,Good,Apartments,31310,46116.34,107219,9599,True
Brussels-Capital Region,Apartment,apartment,475000.0,3.0,121,D,203.0,As new,Apartments,60771,39197.85,137181,288528,True
Province of East Flanders,House,house,749000.0,5.0,438,B,124.0,As new,Houses,34999,37743.97,124752,14340,True
Province of Luxembourg,House,house,295000.0,3.0,172,G,580.0,To be done up,Houses,8723,45101.61,32240,0,True
Brussels-Capital Region,House,house,850000.0,5.0,232,B,60.0,Not specified,Houses,89278,36192.4,192538,3920,True
Province of Antwerp,House,villa,1249000.0,6.0,516,C,288.0,Not specified,Luxury Properties,20319,52053.15,77813,4594,True
Brussels-Capital Region,Apartment,apartment,495000.0,3.0,137,D,178.0,As new,Apartments,86806,43621.92,224317,19952,True
Brussels-Capital Region,Apartment,apartment,180000.0,2.0,69,F,283.0,Good,Apartments,25564,31068.82,45830,17803,True
Brussels-Capital Region,House,villa,1100000.0,5.0,378,E,218.0,Good,Luxury Properties,42571,49629.39,117715,6157,True
Province of East Flanders,House,house,749000.0,5.0,438,B,124.0,As new,Houses,6874,41567.4,25699,7182,True
Province of Hainaut,House,exceptional-property,950000.0,4.0,544,C,317.0,Not specified,Luxury Properties,3879,37641.11,14607,23254,False
Brussels-Capital Region,House,apartment-block,1455000.0,10.0,320,G,437.0,Not specified,Specialized Properties,196828,29704.33,380145,17660,False
Province of Antwerp,Apartment,apartment,329000.0,2.0,105,C,214.0,Good,Apartments,544759,33144.07,1227104,4398,True
Province of Antwerp,House,house,210000.0,2.0,125,F,735.0,To renovate,Houses,19431,35052.46,51197,31820,True
Province of East Flanders,House,house,749000.0,5.0,438,B,124.0,As new,Houses,6874,41567.4,25699,7182,True
Province of Antwerp,House,house,725000.0,4.0,452,F,546.0,To be done up,Houses,42331,39612.28,146855,4602,True
Province of Flemish Brabant,House,farmhouse,845000.0,5.0,450,D,377.0,Not specified,Houses,36525,37715.53,106812,1948,False
Province of Antwerp,House,house,289000.0,3.0,148,C,297.0,Good,Houses,26957,44065.2,94276,5428,True
Province of West Flanders,House,house,115000.0,2.0,128,F,917.0,To renovate,Houses,29227,36788.45,108537,1923,False
Province of Limburg,House,mixed-use-building,975000.0,0.0,515,B,191.0,Not specified,Specialized Properties,23875,38236.66,89331,3272,False
Province of Walloon Brabant,House,house,548000.0,3.0,269,C,317.0,As new,Houses,29070,39782.46,88101,4235,False
Brussels-Capital Region,Apartment,apartment,220000.0,2.0,87,E,233.0,Good,Apartments,58044,31300.75,97050,19678,True
Province of East Flanders,House,house,125000.0,2.0,150,E,441.0,To be done up,Houses,27356,32084.7,82867,11685,False
Brussels-Capital Region,House,house,750000.0,4.0,222,D,317.0,As new,Houses,42571,49629.39,117715,6157,True
Province of West Flanders,House,mansion,998000.0,4.0,401,E,317.0,Not specified,Luxury Properties,119869,38379.28,447131,54152,True
Province of Flemish Brabant,House,house,548888.0,4.0,219,Not specified,317.0,Just renovated,Houses,11604,43039.49,42523,11202,False
Brussels-Capital Region,Apartment,apartment,390000.0,2.0,121,F,332.0,As new,Apartments,130405,29104.72,217421,12964,True
Province of Namur,House,house,259000.0,3.0,152,C,196.0,Good,Houses,17183,34208.05,60168,0,True
Brussels-Capital Region,Apartment,apartment,235000.0,2.0,75,C,101.0,As new,Apartments,126581,26480.5,210927,18015,True
Province of Luxembourg,House,apartment-block,750000.0,8.0,478,C,172.0,Just renovated,Specialized Properties,2819,37689.7,12510,0,True
Province of West Flanders,House,villa,945000.0,4.0,208,F,546.0,Good,Luxury Properties,11455,35914.08,74000,14552,True
Province of East Flanders,House,villa,1100000.0,4.0,483,B,197.0,As new,Luxury Properties,81863,36701.5,247742,11936,True
Province of Flemish Brabant,House,house,370000.0,5.0,195,F,705.0,To renovate,Houses,10207,49451.33,38532,10248,True
Province of Namur,House,castle,550000.0,2.0,200,C,234.0,Not specified,Luxury Properties,114142,35393.56,357401,0,True
Province of East Flanders,House,house,345000.0,4.0,100,C,237.0,Good,Houses,269597,36726.16,810047,6028,False
Brussels-Capital Region,Apartment,apartment,245000.0,2.0,88,C,147.0,Good,Apartments,98365,25895.01,133439,16848,True
Province of East Flanders,House,mansion,1165000.0,6.0,351,C,270.0,To be done up,Luxury Properties,269597,36726.16,810047,6028,False
Brussels-Capital Region,House,house,1199000.0,5.0,409,B,60.0,Not specified,Houses,89278,36192.4,192538,3920,True
Province of Namur,House,castle,550000.0,2.0,200,C,234.0,Not specified,Luxury Properties,13328,30917.43,48073,0,True
Province of West Flanders,Apartment,apartment,89000.0,1.0,42,C,235.0,To be done up,Apartments,12718,39081.67,93777,11347,True
Brussels-Capital Region,Apartment,apartment,249000.0,2.0,92,D,154.0,To be done up,Apartments,25564,31068.82,45830,17803,True
Brussels-Capital Region,Apartment,apartment,195000.0,1.0,64,F,302.0,To renovate,Apartments,196828,29704.33,380145,17660,False
Province of Hainaut,House,house,349000.0,3.0,138,G,709.0,To be done up,Houses,5970,38682.08,22595,33673,True
Province of East Flanders,House,house,795000.0,3.0,312,B,175.0,Good,Houses,27356,32084.7,82867,11685,False
Brussels-Capital Region,House,house,489000.0,4.0,195,C,148.0,To be done up,Houses,196828,29704.33,380145,17660,True
Province of Walloon Brabant,House,villa,800000.0,5.0,460,Not specified,317.0,To renovate,Luxury Properties,30596,49868.21,110845,5016,True
Brussels-Capital Region,Apartment,ground-floor,1200000.0,3.0,234,F,317.0,As new,Apartments,26895,22954.31,36878,7264,True
Province of Flemish Brabant,House,exceptional-property,690000.0,6.0,305,C,296.0,As new,Luxury Properties,20299,48526.82,71917,2114,True
Brussels-Capital Region,Apartment,ground-floor,1200000.0,3.0,234,F,317.0,As new,Apartments,89278,36192.4,192538,3920,True
Province of Namur,House,castle,550000.0,2.0,200,C,234.0,Not specified,Luxury Properties,3231,35174.04,13379,0,True
Brussels-Capital Region,Apartment,apartment,259000.0,2.0,94,D,196.0,As new,Apartments,25564,31068.82,45830,17803,True
Brussels-Capital Region,Apartment,apartment,285000.0,1.0,58,D,201.0,Good,Apartments,26895,22954.31,36878,7264,True
Province of Liège,House,villa,269000.0,2.0,125,E,377.0,Not specified,Luxury Properties,4207,40566.22,15417,5694,True
Province of Flemish Brabant,House,house,590000.0,3.0,265,D,357.0,Not specified,Houses,2276,42106.19,8407,8451,True
Province of West Flanders,House,mansion,1495000.0,4.0,275,B,317.0,As new,Luxury Properties,32514,49005.78,218080,23881,True
Province of Antwerp,House,villa,675000.0,4.0,292,C,203.0,Good,Luxury Properties,22278,38492.75,79497,9053,True
Province of Antwerp,House,mansion,850000.0,4.0,235,B,183.0,As new,Luxury Properties,544759,33144.07,1227104,4398,True
Province of Luxembourg,House,house,27500.0,2.0,62,D,311.0,To renovate,Houses,5377,30493.52,27979,0,False
Province of West Flanders,House,house,1695000.0,3.0,296,B,159.0,As new,Houses,20965,37923.32,80727,20473,True
Province of Namur,House,castle,610000.0,2.0,296,E,398.0,Not specified,Luxury Properties,114142,35393.56,357401,0,True
Brussels-Capital Region,House,house,865000.0,6.0,220,G,317.0,To renovate,Houses,42571,49629.39,117715,6157,True
Province of Namur,House,house,285000.0,5.0,175,D,269.0,Good,Houses,6148,28778.34,27689,0,True
Province of West Flanders,Apartment,apartment,291375.0,3.0,102,Not specified,317.0,Good,Apartments,11677,36022.57,46142,1136,True
Province of West Flanders,House,house,245000.0,2.0,90,D,308.0,Good,Houses,80032,37694.03,283738,359714,False
Brussels-Capital Region,House,house,875000.0,6.0,450,D,196.0,Just renovated,Houses,35350,42739.22,90826,55173,True
Province of East Flanders,House,house,685000.0,3.0,215,A,56.0,As new,Houses,269597,36726.16,810047,6028,True
Province of Flemish Brabant,Apartment,apartment,315000.0,2.0,86,B,119.0,As new,Apartments,42595,38907.97,130239,12277,True
Brussels-Capital Region,Apartment,apartment,395000.0,2.0,94,C,96.0,Not specified,Apartments,89278,36192.4,192538,3920,True
Province of Luxembourg,House,house,250000.0,4.0,198,D,285.0,Not specified,Houses,11972,36446.9,44392,0,False
Province of Namur,House,castle,610000.0,2.0,296,E,398.0,Not specified,Luxury Properties,13328,30917.43,48073,0,True
Province of West Flanders,House,house,285000.0,1.0,85,C,262.0,Just renovated,Houses,119869,38379.28,447131,54152,False
Brussels-Capital Region,Apartment,apartment,319000.0,2.0,95,E,317.0,Good,Apartments,126581,26480.5,210927,18015,True
Brussels-Capital Region,Apartment,apartment,299000.0,1.0,82,D,202.0,As new,Apartments,60771,39197.85,137181,288528,True
Province of East Flanders,House,villa,1199000.0,5.0,482,B,124.0,As new,Luxury Properties,29787,42071.89,114794,5641,True
Province of West Flanders,House,house,950000.0,4.0,240,B,200.0,Just renovated,Houses,21546,45278.76,146797,6821,True
Brussels-Capital Region,Apartment,apartment,1145000.0,5.0,375,D,200.0,As new,Apartments,130405,29104.72,217421,12964,True
Province of East Flanders,House,house,324500.0,3.0,109,C,291.0,Just renovated,Houses,45471,42117.19,171088,11335,True
Brussels-Capital Region,House,villa,619000.0,5.0,220,E,275.0,Not specified,Luxury Properties,54107,31546.83,96069,5392,True
Province of East Flanders,House,house,685000.0,3.0,227,E,495.0,Good,Houses,45471,42117.19,171088,11335,True
Province of West Flanders,House,house,375000.0,3.0,184,D,395.0,As new,Houses,80032,37694.03,283738,359714,False
Province of East Flanders,House,mixed-use-building,968175.0,4.0,467,B,188.0,Good,Specialized Properties,25229,47435.18,91348,5057,False
Province of Walloon Brabant,House,villa,629000.0,6.0,204,B,113.0,Good,Luxury Properties,28381,34640.31,79056,12977,True
Province of Antwerp,House,house,325000.0,3.0,186,B,186.0,Just renovated,Houses,44505,39914.48,170277,3762,True
Province of Antwerp,House,house,690000.0,3.0,267,B,166.0,Good,Houses,18914,42053.83,68060,14838,True
Province of West Flanders,Apartment,apartment,315000.0,1.0,57,B,152.0,Good,Apartments,119869,38379.28,447131,54152,False
Brussels-Capital Region,Apartment,ground-floor,329000.0,2.0,173,E,243.0,To be done up,Apartments,130405,29104.72,217421,12964,True
Province of East Flanders,House,house,985000.0,3.0,310,D,344.0,As new,Houses,24744,37507.01,94190,5309,False
Province of Luxembourg,House,mixed-use-building,640000.0,6.0,567,D,305.0,To be done up,Specialized Properties,17972,33662.13,63903,1857,True
Province of East Flanders,House,villa,690000.0,4.0,267,B,165.0,As new,Luxury Properties,18928,41898.49,69991,23049,True
Brussels-Capital Region,Apartment,duplex,369000.0,4.0,135,G,476.0,Good,Apartments,196828,29704.33,380145,17660,True
Brussels-Capital Region,Apartment,flat-studio,159000.0,0.0,42,Not specified,317.0,Just renovated,Apartments,26895,22954.31,36878,7264,True
Brussels-Capital Region,House,house,995000.0,5.0,280,E,214.0,Not specified,Houses,42571,49629.39,117715,6157,True
Province of Flemish Brabant,House,villa,515000.0,4.0,212,C,267.0,Not specified,Luxury Properties,15417,44198.89,60198,7123,False
Province of Flemish Brabant,House,country-cottage,645000.0,0.0,491,Not specified,317.0,Not specified,Houses,31138,40395.44,117155,11016,False
Province of Luxembourg,House,house,415000.0,4.0,168,E,420.0,Good,Houses,8549,49741.9,31905,27898,True
Brussels-Capital Region,Apartment,ground-floor,299000.0,1.0,63,E,233.0,Good,Apartments,130405,29104.72,217421,12964,True
Brussels-Capital Region,Apartment,ground-floor,375000.0,3.0,110,D,189.0,As new,Apartments,45234,31133.23,80746,42542,True
