Locality,Zip Code,Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped
Gent,9000,Province of East Flanders,House,house,225000,2,79,1,0,0,0,0,0,0,0,38,0,D,330,To be done up,Houses
Habay-anlier,6720,Province of Luxembourg,House,house,295000,2,129,1,0,0,1,20,0,0,0,347,3,C,214,Good,Houses
Harelbeke,8530,Province of West Flanders,Apartment,apartment,195000,3,100,1,0,0,1,4,0,0,0,0,2,B,117,Good,Apartments
Charleroi,6041,Province of Hainaut,Apartment,apartment,125000,1,64,1,0,0,0,0,0,0,0,0,2,D,270,As new,Apartments
Voorde,9400,Province of East Flanders,House,villa,575000,4,330,0,0,1,1,20,1,1000,0,1360,4,F,700,Good,Luxury Properties
Antwerpen,2018,Province of Antwerp,House,mansion,1039000,5,400,0,0,0,0,0,0,0,0,133,4,C,231,As new,Luxury Properties
Nazareth,9810,Province of East Flanders,House,house,369000,3,199,0,0,0,0,0,0,0,0,631,0,D,358,Not specified,Houses
Wilrijk,2610,Province of Antwerp,House,apartment-block,999900,3,200,1,0,0,1,20,0,0,0,0,3,F,967,Good,Specialized Properties
Zeebrugge,8380,Province of West Flanders,Apartment,flat-studio,125000,1,35,1,0,0,0,0,0,0,0,0,2,D,306,Good,Apartments
Beringen,3581,Province of Limburg,House,villa,1075000,6,424,0,0,0,0,0,0,0,0,1248,4,A,17,As new,Luxury Properties
Roeselare-rumbeke,8800,Province of West Flanders,House,house,675000,3,295,1,0,0,0,0,0,0,0,3598,4,E,436,Good,Houses
Corroy-le-chateau,5032,Province of Namur,House,house,460000,3,150,0,0,0,0,0,0,0,0,1075,4,E,377,As new,Houses
La-bruyere,5080,Province of Namur,House,house,385000,3,145,1,0,0,1,20,1,1400,0,1666,4,F,470,Good,Houses
Forest,1190,Brussels-Capital Region,Apartment,apartment,135000,1,60,1,0,0,1,2,0,0,0,0,2,G,360,To renovate,Apartments
Oostende,8400,Province of West Flanders,Apartment,apartment,930000,8,301,1,0,0,0,0,0,0,0,0,2,B,144,Not specified,Apartments
Oostkamp,8020,Province of West Flanders,House,house,685000,5,270,0,0,0,0,0,0,0,0,7219,4,F,527,Good,Houses
Waterloo,1410,Province of Walloon Brabant,House,house,1100000,4,275,0,0,1,0,0,0,0,0,1900,4,F,440,To renovate,Houses
Merelbeke,9820,Province of East Flanders,Apartment,apartment,169000,1,43,1,0,0,1,18,0,0,0,0,3,C,212,To be done up,Apartments
Bredene,8450,Province of West Flanders,Apartment,apartment,135000,1,45,1,0,0,0,0,0,0,0,0,0,B,179,Good,Apartments
Ixelles,1050,Brussels-Capital Region,Apartment,apartment,790000,3,220,1,0,0,0,0,0,0,0,0,2,D,188,Good,Apartments
Dendermonde,9200,Province of East Flanders,House,villa,695000,5,414,0,0,1,0,0,1,1600,0,1600,4,C,277,Good,Luxury Properties
Lubbeek,3210,Province of Flemish Brabant,House,villa,995000,4,294,1,0,0,0,0,0,0,0,1832,0,Not specified,317,As new,Luxury Properties
Roeselare,8800,Province of West Flanders,Apartment,flat-studio,135000,1,44,1,0,0,0,0,0,0,0,0,0,D,312,Good,Apartments
Antwerpen,2060,Province of Antwerp,House,house,329000,3,140,1,0,0,0,0,0,0,0,47,0,B,135,Just renovated,Houses
La-panne,8660,Province of West Flanders,House,villa,1325000,5,245,0,0,1,1,75,1,150,0,300,4,E,487,As new,Luxury Properties
Liege,4000,Province of Liège,House,house,149000,4,121,1,0,0,0,0,1,60,0,120,2,G,613,To be done up,Houses
Liege,4032,Province of Liège,House,house,175000,2,90,0,0,0,0,0,1,110,0,170,2,E,354,To be done up,Houses
Lokeren,9160,Province of East Flanders,Apartment,service-flat,248000,1,62,1,0,0,0,0,1,24,1,0,2,A,35,As new,Apartments
Ninove,9400,Province of East Flanders,House,villa,699000,3,525,1,0,0,0,0,0,0,0,1694,4,C,216,As new,Luxury Properties
Ceroux-mousty,1341,Province of Walloon Brabant,House,house,1170000,6,350,0,0,0,0,0,0,0,1,2400,4,C,317,As new,Houses
Trooz,4870,Province of Liège,House,house,199000,2,78,1,0,0,1,15,1,96,0,240,3,B,170,Good,Houses
