Locality,Zip Code,Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped
Izegem,8870,Province of West Flanders,House,mixed-use-building,379000,2,171,1,0,0,0,0,0,0,0,227,0,B,317,Good,Specialized Properties
Uccle,1180,Brussels-Capital Region,Apartment,apartment,259000,1,75,0,0,0,0,0,0,0,0,0,2,G,634,To renovate,Apartments
Willebroek,2830,Province of Antwerp,House,house,399000,3,160,1,0,0,0,0,0,0,0,280,2,C,204,Good,Houses
Ixelles,1050,Brussels-Capital Region,Apartment,penthouse,1350000,5,395,1,0,1,1,100,0,0,0,0,4,C,140,As new,Apartments
Kapelle-op-den-bos,1880,Province of Flemish Brabant,House,house,599000,2,230,0,0,1,0,0,0,0,0,10808,0,F,1078,To renovate,Houses
Gavere,9890,Province of East Flanders,House,house,399189,3,153,1,0,0,1,17,1,49,0,154,2,Not specified,317,As new,Houses
Uccle,1180,Brussels-Capital Region,Apartment,apartment,259000,1,75,1,0,0,0,0,0,0,0,0,2,G,579,To renovate,Apartments
Oudenaarde,9700,Province of East Flanders,House,house,435000,3,162,0,0,0,1,7,0,0,0,725,3,B,136,Good,Houses
Meigem,9800,Province of East Flanders,House,house,685000,3,227,0,0,0,0,0,0,0,1,17251,0,E,495,Good,Houses
Neuville-en-condroz,4121,Province of Liège,House,house,599000,3,209,1,0,1,0,0,0,0,0,2489,4,C,171,Good,Houses
Antwerpen,2000,Province of Antwerp,Apartment,apartment,1250000,3,272,1,0,0,0,0,0,0,0,0,2,B,176,Good,Apartments
Bruxelles,1000,Brussels-Capital Region,Apartment,apartment,690000,4,281,1,0,0,0,0,0,0,0,0,3,E,211,Good,Apartments
Gavere,9890,Province of East Flanders,House,house,401089,3,153,1,0,0,1,17,1,53,0,159,2,Not specified,317,As new,Houses
Bruxelles,1000,Brussels-Capital Region,House,mixed-use-building,450000,3,134,1,0,0,0,0,0,0,0,43,2,F,275,As new,Specialized Properties
Zulte,9870,Province of East Flanders,House,house,849000,4,378,1,0,0,0,0,0,0,0,1709,4,C,232,Good,Houses
Halle,1500,Province of Flemish Brabant,Apartment,apartment,259000,2,75,0,0,0,0,0,0,0,0,0,4,F,550,Good,Apartments
Antwerpen,2000,Province of Antwerp,Apartment,duplex,1545000,3,246,0,0,0,1,30,0,0,0,0,2,A,86,As new,Apartments
Aartselaar,2630,Province of Antwerp,Apartment,apartment,224000,2,89,1,0,0,0,0,0,0,0,0,2,C,249,Good,Apartments
Reningelst,8970,Province of West Flanders,House,house,275000,3,167,1,0,0,0,0,0,0,0,400,3,C,239,Good,Houses
Aalst,9300,Province of East Flanders,House,mansion,660000,4,280,1,0,0,0,0,0,0,0,200,0,B,190,Good,Luxury Properties
Kortrijk,8500,Province of West Flanders,House,house,599000,7,362,1,0,0,0,0,0,0,0,435,0,D,343,Just renovated,Houses
Edegem,2650,Province of Antwerp,Apartment,apartment,604250,0,279,0,0,0,1,40,0,0,0,0,0,Not specified,317,Not specified,Apartments
Tremelo,3120,Province of Flemish Brabant,House,villa,995000,5,258,0,0,0,0,0,0,0,1,1669,4,B,153,As new,Luxury Properties
Oupeye,4680,Province of Liège,House,house,139000,2,122,1,0,0,0,0,1,15,0,113,2,D,283,To renovate,Houses
Woluwe-saint-pierre,1150,Brussels-Capital Region,Apartment,apartment,470000,3,140,1,0,0,1,6,0,0,0,0,2,E,317,To be done up,Apartments
Bonheiden,2820,Province of Antwerp,House,villa,1165000,3,241,1,0,1,1,75,1,400,0,0,4,C,279,Good,Luxury Properties
Laken,1020,Brussels-Capital Region,Apartment,duplex,279000,3,101,1,0,0,0,0,0,0,0,0,2,D,185,Good,Apartments
Maldegem,9990,Province of East Flanders,House,house,599500,4,200,1,0,0,0,0,0,0,0,355,0,A,27,As new,Houses
Flemalle,4400,Province of Liège,House,house,144000,2,115,1,1,0,1,30,1,85,0,205,3,G,548,To be done up,Houses
Halle,1500,Province of Flemish Brabant,Apartment,apartment,287500,1,76,0,0,0,1,26,0,0,0,0,0,A,59,As new,Apartments
Ronse,9600,Province of East Flanders,House,house,485000,5,200,1,0,0,1,20,1,195,0,505,3,C,267,As new,Houses
Gent,9000,Province of East Flanders,House,house,225000,3,102,0,0,0,0,0,1,15,0,65,2,F,630,To renovate,Houses
Herent,3020,Province of Flemish Brabant,House,house,455000,3,190,1,0,0,1,20,1,150,0,493,0,F,534,To be done up,Houses
Bonheiden,2820,Province of Antwerp,House,house,1165000,3,241,1,0,1,1,75,1,400,0,0,4,C,279,Good,Houses
Oudenaarde,9700,Province of East Flanders,House,mixed-use-building,635000,5,272,0,0,0,0,0,0,0,0,340,2,D,417,Not specified,Specialized Properties
Hemiksem,2620,Province of Antwerp,House,house,549000,3,349,1,0,0,0,0,0,0,0,260,2,C,251,Good,Houses
Virton,6760,Province of Luxembourg,Apartment,triplex,169000,3,126,1,0,0,0,0,0,0,0,0,2,B,169,Good,Apartments
Oudenaarde,9700,Province of East Flanders,House,house,495000,5,200,0,1,0,0,0,0,0,0,1819,4,C,296,Good,Houses
Destelbergen,9070,Province of East Flanders,House,house,639000,5,303,1,0,0,1,42,1,760,0,1277,4,C,250,As new,Houses
Nazareth,9810,Province of East Flanders,House,house,625000,4,241,0,0,0,0,0,0,0,0,796,0,B,151,Good,Houses
Braine-lalleud,1420,Province of Walloon Brabant,Apartment,apartment,295000,1,72,0,0,0,0,0,0,0,0,0,2,B,155,Not specified,Apartments
Rotselaar,3110,Province of Flemish Brabant,House,house,549000,3,209,1,0,0,0,0,0,0,0,1361,4,B,143,Good,Houses
Brussel,1000,Brussels-Capital Region,Apartment,flat-studio,240000,0,41,0,1,0,1,2,0,0,0,0,1,B,95,As new,Apartments
Seraing,4102,Province of Liège,House,house,199900,3,131,1,0,0,1,40,1,30,0,160,2,C,233,As new,Houses
Schaerbeek,1030,Brussels-Capital Region,Apartment,apartment,315000,2,85,1,0,0,0,0,0,0,0,0,4,F,290,As new,Apartments
Bruxelles,1000,Brussels-Capital Region,Apartment,apartment,1175000,4,260,1,0,0,0,0,0,0,1,0,3,D,189,As new,Apartments
Schaerbeek,1030,Brussels-Capital Region,House,mixed-use-building,649000,6,310,0,0,0,0,0,0,0,0,110,2,E,229,To be done up,Specialized Properties
Brecht-schoten,2960,Province of Antwerp,House,house,625000,4,240,0,0,0,1,20,0,0,0,1010,3,C,225,Not specified,Houses
Seraing,4101,Province of Liège,House,house,215000,2,117,1,0,0,1,30,1,205,0,320,2,C,247,As new,Houses
Wilsele,3012,Province of Flemish Brabant,House,house,445000,4,180,0,0,0,0,0,0,0,0,470,3,Not specified,317,Not specified,Houses
Jette,1090,Brussels-Capital Region,Apartment,apartment,320000,3,90,1,0,0,1,3,0,0,0,0,2,D,174,Good,Apartments
Gent,9000,Province of East Flanders,House,house,587000,4,200,0,0,0,0,0,0,0,0,51,2,E,493,To be done up,Houses
Woluwe-saint-lambert,1200,Brussels-Capital Region,Apartment,apartment,345000,2,115,0,0,0,1,13,0,0,0,0,2,D,175,Good,Apartments
Melle,9090,Province of East Flanders,House,house,686000,3,224,1,0,0,0,0,0,0,0,617,0,B,173,Just renovated,Houses
Schaerbeek,1030,Brussels-Capital Region,House,house,650000,6,416,1,0,0,1,20,1,30,0,190,2,E,272,Good,Houses
Walhain,1457,Province of Walloon Brabant,House,town-house,609000,4,210,1,0,0,0,0,0,0,0,1111,2,A,70,Not specified,Houses
Engis,4480,Province of Liège,House,house,260000,4,152,1,0,0,1,27,1,559,0,696,4,D,279,Good,Houses
Liege,4000,Province of Liège,Apartment,flat-studio,99000,1,35,0,0,0,0,0,0,0,0,0,2,D,295,To renovate,Apartments
Blegny,4671,Province of Liège,House,house,275000,3,163,0,0,0,1,30,1,270,0,500,2,C,254,As new,Houses
Linkebeek,1630,Province of Flemish Brabant,House,town-house,660000,4,250,1,0,0,1,40,1,200,0,315,2,B,110,As new,Houses
Schaerbeek,1030,Brussels-Capital Region,House,apartment-block,650000,6,416,1,0,0,1,20,1,30,0,190,2,E,272,Good,Specialized Properties
Heusy,4802,Province of Liège,House,house,449000,4,149,1,0,0,1,30,1,985,0,1101,4,C,234,Good,Houses
Gent,9000,Province of East Flanders,House,apartment-block,587000,4,200,0,0,0,0,0,0,0,0,51,2,E,493,To be done up,Specialized Properties
Nevele,9850,Province of East Flanders,House,house,615000,4,212,1,0,0,0,0,0,0,0,786,0,A,85,Not specified,Houses
Heist-aan-zee,8301,Province of West Flanders,Apartment,ground-floor,429000,2,66,0,1,0,0,0,0,0,0,0,0,C,272,Good,Apartments
Melle,9090,Province of East Flanders,House,house,699000,4,390,1,0,0,0,0,0,0,0,1446,0,B,187,Not specified,Houses
Walhain-saint-paul,1457,Province of Walloon Brabant,House,house,599000,4,210,0,0,0,0,0,0,0,0,1100,4,A,317,Not specified,Houses
Uccle,1180,Brussels-Capital Region,House,house,795000,4,257,1,0,0,1,11,0,0,0,83,2,F,298,Good,Houses
Liege,4000,Province of Liège,Apartment,flat-studio,119500,1,26,0,0,0,0,0,0,0,0,0,2,B,161,Just renovated,Apartments
Ixelles,1050,Brussels-Capital Region,Apartment,apartment,430000,1,65,1,0,0,1,18,0,0,0,0,2,B,317,As new,Apartments
Arlon,6700,Province of Luxembourg,House,house,795000,4,296,1,0,0,0,0,0,0,0,3853,4,C,219,Good,Houses
Wanze,4520,Province of Liège,House,house,280000,3,155,0,0,1,0,0,1,516,0,595,3,E,408,To be done up,Houses
Antwerpen,2100,Province of Antwerp,House,house,750000,3,509,0,0,0,0,0,0,0,0,0,2,B,130,As new,Houses
Ixelles,1050,Brussels-Capital Region,House,house,799000,1,226,1,0,0,1,29,1,33,0,0,2,B,60,Not specified,Houses
Heverlee,3001,Province of Flemish Brabant,House,villa,1020000,5,309,1,0,0,1,85,0,0,0,783,0,C,235,Not specified,Luxury Properties
Dilbeek,1700,Province of Flemish Brabant,House,villa,749000,6,350,1,0,0,1,33,0,0,1,855,3,B,195,Good,Luxury Properties
Antwerpen,2000,Province of Antwerp,House,mansion,1195000,7,405,0,0,0,0,0,0,0,0,235,2,C,272,Not specified,Luxury Properties
Aarlen,6700,Province of Luxembourg,Apartment,apartment,165000,1,45,1,0,0,1,4,0,0,0,0,2,C,187,Good,Apartments
Woluwe-saint-lambert,1200,Brussels-Capital Region,Apartment,apartment,475000,3,121,1,0,0,0,0,0,0,0,0,2,D,203,As new,Apartments
Geraardsbergen,9500,Province of East Flanders,House,house,749000,5,438,1,0,0,0,0,0,0,0,1531,4,B,124,As new,Houses
Hachy,6720,Province of Luxembourg,House,house,295000,3,172,0,0,0,1,20,1,426,0,426,4,G,580,To be done up,Houses
Ixelles,1050,Brussels-Capital Region,House,house,850000,5,232,1,0,0,1,22,1,22,0,0,2,B,60,Not specified,Houses
Schilde,2970,Province of Antwerp,House,villa,1249000,6,516,0,0,0,0,0,0,0,1,3669,4,C,288,Not specified,Luxury Properties
Uccle,1180,Brussels-Capital Region,Apartment,apartment,495000,3,137,1,0,0,1,10,0,0,0,0,2,D,178,As new,Apartments
Ganshoren,1083,Brussels-Capital Region,Apartment,apartment,180000,2,69,1,0,0,0,0,0,0,0,0,4,F,283,Good,Apartments
Woluwe-saint-pierre,1150,Brussels-Capital Region,House,villa,1100000,5,378,1,0,1,1,34,0,0,0,863,4,E,218,Good,Luxury Properties
Lierde,9570,Province of East Flanders,House,house,749000,5,438,1,0,0,0,0,0,0,0,1531,4,B,124,As new,Houses
Mont-de-lenclus,7750,Province of Hainaut,House,exceptional-property,950000,4,544,0,0,0,0,0,0,0,0,7793,3,C,317,Not specified,Luxury Properties
Etterbeek,1040,Brussels-Capital Region,House,apartment-block,1455000,10,320,0,0,0,0,0,0,0,0,0,2,G,437,Not specified,Specialized Properties
Antwerpen-zuid,2018,Province of Antwerp,Apartment,apartment,329000,2,105,1,1,0,1,5,0,0,0,0,2,C,214,Good,Apartments
Boom,2850,Province of Antwerp,House,house,210000,2,125,0,0,0,0,0,1,45,0,138,2,F,735,To renovate,Houses
Lierde,9572,Province of East Flanders,House,house,749000,5,438,1,0,0,0,0,0,0,0,1531,4,B,124,As new,Houses
Geel,2440,Province of Antwerp,House,house,725000,4,452,1,0,0,0,0,0,0,0,6246,4,F,546,To be done up,Houses
Sint-pieters-leeuw,1600,Province of Flemish Brabant,House,farmhouse,845000,5,450,0,0,0,0,0,0,0,0,2103,4,D,377,Not specified,Houses
Ruisbroek,2870,Province of Antwerp,House,house,289000,3,148,0,0,0,1,11,1,51,0,145,2,C,297,Good,Houses
Izegem,8870,Province of West Flanders,House,house,115000,2,128,0,0,0,0,0,0,0,0,93,0,F,917,To renovate,Houses
Oudsbergen,3660,Province of Limburg,House,mixed-use-building,975000,0,515,0,0,0,0,0,0,0,0,40000,4,B,191,Not specified,Specialized Properties
Bornival,1404,Province of Walloon Brabant,House,house,548000,3,269,0,0,0,0,0,0,0,0,2760,4,C,317,As new,Houses
Forest,1190,Brussels-Capital Region,Apartment,apartment,220000,2,87,1,0,0,1,12,0,0,0,0,4,E,233,Good,Apartments
Ronse,9600,Province of East Flanders,House,house,125000,2,150,0,0,0,0,0,0,0,0,320,2,E,441,To be done up,Houses
Woluwe-saint-pierre,1150,Brussels-Capital Region,House,house,750000,4,222,1,0,0,1,27,0,0,0,120,2,D,317,As new,Houses
Brugge,8000,Province of West Flanders,House,mansion,998000,4,401,1,0,0,0,0,0,0,0,741,3,E,317,Not specified,Luxury Properties
Tielt-winge,3390,Province of Flemish Brabant,House,house,548888,4,219,0,0,0,0,0,0,0,0,825,4,Not specified,317,Just renovated,Houses
Schaerbeek,1030,Brussels-Capital Region,Apartment,apartment,390000,2,121,1,0,0,0,0,0,0,0,0,2,F,332,As new,Apartments
Ciney,5590,Province of Namur,House,house,259000,3,152,1,0,0,0,0,1,311,0,492,4,C,196,Good,Houses
Anderlecht,1070,Brussels-Capital Region,Apartment,apartment,235000,2,75,0,0,0,1,17,0,0,0,0,2,C,101,As new,Apartments
Meix-devant-virton,6769,Province of Luxembourg,House,apartment-block,750000,8,478,1,0,0,0,0,0,0,0,274,3,C,172,Just renovated,Specialized Properties
Nieuwpoort,8620,Province of West Flanders,House,villa,945000,4,208,0,0,0,0,0,0,0,1,1015,0,F,546,Good,Luxury Properties
Sint-niklaas,9100,Province of East Flanders,House,villa,1100000,4,483,0,0,0,0,0,0,0,1,2600,4,B,197,As new,Luxury Properties
Kortrijk-dutsel,3220,Province of Flemish Brabant,House,house,370000,5,195,0,0,0,1,20,1,2500,0,3133,4,F,705,To renovate,Houses
Namur,5000,Province of Namur,House,castle,550000,2,200,1,0,1,0,0,0,0,0,110000,0,C,234,Not specified,Luxury Properties
Gent,9000,Province of East Flanders,House,house,345000,4,100,0,0,0,0,0,0,0,0,100,0,C,237,Good,Houses
Molenbeek-saint-jean,1080,Brussels-Capital Region,Apartment,apartment,245000,2,88,1,0,0,1,27,0,0,0,0,2,C,147,Good,Apartments
Gent,9000,Province of East Flanders,House,mansion,1165000,6,351,0,0,0,0,0,0,0,0,270,0,C,270,To be done up,Luxury Properties
Ixelles,1050,Brussels-Capital Region,House,house,1199000,5,409,1,0,0,1,18,1,41,0,0,2,B,60,Not specified,Houses
Dinant,5500,Province of Namur,House,castle,550000,2,200,1,0,1,0,0,0,0,0,110000,0,C,234,Not specified,Luxury Properties
De-haan,8420,Province of West Flanders,Apartment,apartment,89000,1,42,1,1,0,0,0,0,0,0,0,0,C,235,To be done up,Apartments
Ganshoren,1083,Brussels-Capital Region,Apartment,apartment,249000,2,92,1,0,0,0,0,0,0,0,0,2,D,154,To be done up,Apartments
Etterbeek,1040,Brussels-Capital Region,Apartment,apartment,195000,1,64,0,0,0,0,0,0,0,0,0,2,F,302,To renovate,Apartments
Elzele,7890,Province of Hainaut,House,house,349000,3,138,1,0,0,1,25,1,2000,0,3090,4,G,709,To be done up,Houses
Ronse,9600,Province of East Flanders,House,house,795000,3,312,0,0,0,0,0,0,0,0,2936,4,B,175,Good,Houses
Bruxelles,1120,Brussels-Capital Region,House,house,489000,4,195,1,0,0,1,13,1,197,0,300,2,C,148,To be done up,Houses
Waterloo,1410,Province of Walloon Brabant,House,villa,800000,5,460,0,0,0,0,0,1,1,0,1082,4,Not specified,317,To renovate,Luxury Properties
Bruxelles,1000,Brussels-Capital Region,Apartment,ground-floor,1200000,3,234,1,0,0,0,0,1,160,0,0,2,F,317,As new,Apartments
Meise,1860,Province of Flemish Brabant,House,exceptional-property,690000,6,305,1,0,0,0,0,1,2062,0,2252,4,C,296,As new,Luxury Properties
Ixelles,1050,Brussels-Capital Region,Apartment,ground-floor,1200000,3,234,1,0,0,0,0,1,160,0,0,2,F,317,As new,Apartments
Anthee,5520,Province of Namur,House,castle,550000,2,200,1,0,1,0,0,0,0,0,110000,0,C,234,Not specified,Luxury Properties
Ganshoren,1083,Brussels-Capital Region,Apartment,apartment,259000,2,94,1,0,0,1,17,0,0,0,0,2,D,196,As new,Apartments
Brussel,1000,Brussels-Capital Region,Apartment,apartment,285000,1,58,1,0,0,1,11,0,0,0,0,4,D,201,Good,Apartments
Stree,4577,Province of Liège,House,villa,269000,2,125,0,0,0,0,0,1,1128,0,1250,4,E,377,Not specified,Luxury Properties
Bever,1547,Province of Flemish Brabant,House,house,590000,3,265,1,0,0,0,0,0,0,0,2120,2,D,357,Not specified,Houses
Knokke-heist,8301,Province of West Flanders,House,mansion,1495000,4,275,1,0,0,0,0,0,0,0,0,2,B,317,As new,Luxury Properties
Hoogstraten,2320,Province of Antwerp,House,villa,675000,4,292,1,0,1,0,0,0,0,0,840,4,C,203,Good,Luxury Properties
Antwerpen,2060,Province of Antwerp,House,mansion,850000,4,235,0,0,0,1,20,0,0,0,258,4,B,183,As new,Luxury Properties
Bouillon,6830,Province of Luxembourg,House,house,27500,2,62,0,0,0,0,0,0,0,0,48,2,D,311,To renovate,Houses
Torhout,8820,Province of West Flanders,House,house,1695000,3,296,1,0,0,0,0,0,0,1,10000,4,B,159,As new,Houses
Namur,5000,Province of Namur,House,castle,610000,2,296,1,0,1,0,0,0,0,0,110000,0,E,398,Not specified,Luxury Properties
Woluwe-saint-pierre,1150,Brussels-Capital Region,House,house,865000,6,220,1,0,0,1,10,1,350,0,495,3,G,317,To renovate,Houses
Hastiere,5543,Province of Namur,House,house,285000,5,175,1,0,0,1,20,1,650,0,870,4,D,269,Good,Houses
Staden,8840,Province of West Flanders,Apartment,apartment,291375,3,102,1,0,0,1,15,0,0,0,0,0,Not specified,317,Good,Apartments
Kortrijk,8500,Province of West Flanders,House,house,245000,2,90,0,0,0,0,0,0,0,0,272,1,D,308,Good,Houses
Auderghem,1160,Brussels-Capital Region,House,house,875000,6,450,0,0,1,1,20,1,160,0,259,2,D,196,Just renovated,Houses
Gent,9032,Province of East Flanders,House,house,685000,3,215,1,0,0,0,0,0,0,0,297,4,A,56,As new,Houses
Halle,1500,Province of Flemish Brabant,Apartment,apartment,315000,2,86,1,0,0,1,10,0,0,0,0,0,B,119,As new,Apartments
Ixelles,1050,Brussels-Capital Region,Apartment,apartment,395000,2,94,1,0,0,0,0,0,0,0,0,2,C,96,Not specified,Apartments
Recogne-libramont,6800,Province of Luxembourg,House,house,250000,4,198,0,0,0,0,0,0,0,0,141,4,D,285,Not specified,Houses
Dinant,5500,Province of Namur,House,castle,610000,2,296,1,0,1,0,0,0,0,0,110000,0,E,398,Not specified,Luxury Properties
Brugge,8000,Province of West Flanders,House,house,285000,1,85,0,0,0,0,0,0,0,0,85,0,C,262,Just renovated,Houses
Anderlecht,1070,Brussels-Capital Region,Apartment,apartment,319000,2,95,1,0,0,1,10,0,0,0,0,2,E,317,Good,Apartments
Woluwe-saint-lambert,1200,Brussels-Capital Region,Apartment,apartment,299000,1,82,1,0,0,1,12,1,55,0,0,2,D,202,As new,Apartments
Aalter,9880,Province of East Flanders,House,villa,1199000,5,482,1,0,0,0,0,0,0,0,3646,4,B,124,As new,Luxury Properties
Sint-idesbald,8670,Province of West Flanders,House,house,950000,4,240,1,0,0,0,0,0,0,0,782,0,B,200,Just renovated,Houses
Schaerbeek,1030,Brussels-Capital Region,Apartment,apartment,1145000,5,375,0,0,0,1,30,1,215,0,0,2,D,200,As new,Apartments
Deinze,9800,Province of East Flanders,House,house,324500,3,109,1,0,0,0,0,0,0,0,196,2,C,291,Just renovated,Houses
Jette,1090,Brussels-Capital Region,House,villa,619000,5,220,1,0,0,1,1,1,1,0,0,4,E,275,Not specified,Luxury Properties
Nevele,9850,Province of East Flanders,House,house,685000,3,227,0,0,0,0,0,0,0,1,17251,0,E,495,Good,Houses
Heule,8501,Province of West Flanders,House,house,375000,3,184,0,0,0,0,0,0,0,0,420,2,D,395,As new,Houses
Merelbeke,9820,Province of East Flanders,House,mixed-use-building,968175,4,467,0,0,0,0,0,0,0,0,432,4,B,188,Good,Specialized Properties
Tubize,1480,Province of Walloon Brabant,House,villa,629000,6,204,1,0,0,1,32,1,600,1,1600,4,B,113,Good,Luxury Properties
Heist-op-den-berg,2220,Province of Antwerp,House,house,325000,3,186,1,0,0,0,0,0,0,0,101,0,B,186,Just renovated,Houses
Putte,2580,Province of Antwerp,House,house,690000,3,267,1,0,0,0,0,0,0,0,1738,0,B,166,Good,Houses
Zeebrugge,8380,Province of West Flanders,Apartment,apartment,315000,1,57,0,0,0,0,0,0,0,0,0,2,B,152,Good,Apartments
Schaerbeek,1030,Brussels-Capital Region,Apartment,ground-floor,329000,2,173,0,0,0,1,20,1,40,0,0,2,E,243,To be done up,Apartments
Maldegem,9990,Province of East Flanders,House,house,985000,3,310,0,0,0,0,0,0,0,0,6846,4,D,344,As new,Houses
Marche-en-famenne,6900,Province of Luxembourg,House,mixed-use-building,640000,6,567,1,0,0,0,0,0,0,0,0,4,D,305,To be done up,Specialized Properties
Herzele,9550,Province of East Flanders,House,villa,690000,4,267,0,0,0,1,48,1,520,0,691,3,B,165,As new,Luxury Properties
Laeken,1020,Brussels-Capital Region,Apartment,duplex,369000,4,135,1,0,0,0,0,0,0,0,0,3,G,476,Good,Apartments
Bruxelles,1000,Brussels-Capital Region,Apartment,flat-studio,159000,0,42,1,0,0,1,7,0,0,0,0,0,Not specified,317,Just renovated,Apartments
Woluwe-saint-pierre,1150,Brussels-Capital Region,House,house,995000,5,280,1,0,1,1,20,1,150,0,325,3,E,214,Not specified,Houses
Tremelo,3120,Province of Flemish Brabant,House,villa,515000,4,212,0,0,0,0,0,0,0,0,826,0,C,267,Not specified,Luxury Properties
Aarschot,3200,Province of Flemish Brabant,House,country-cottage,645000,0,491,0,0,0,0,0,0,0,0,5648,4,Not specified,317,Not specified,Houses
Messancy,6780,Province of Luxembourg,House,house,415000,4,168,0,0,0,1,20,0,0,0,810,4,E,420,Good,Houses
Schaerbeek,1030,Brussels-Capital Region,Apartment,ground-floor,299000,1,63,1,0,0,1,15,1,35,0,0,0,E,233,Good,Apartments
Evere,1140,Brussels-Capital Region,Apartment,ground-floor,375000,3,110,1,0,0,1,34,0,0,0,0,2,D,189,As new,Apartments
Arlon,6700,Province of Luxembourg,House,house,1150000,4,411,1,0,0,0,0,0,0,0,2001,4,E,396,Good,Houses
